aut_lastn, aut_firstn	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Вегин, Петр.			«Я звездами и водами...» — Радиусом радуги. — Вступление в январь. — Русское. [Стихи]. Илл.: К. Багрова	Наш современник	1965	3	54—55
Субботин, В.			Маленькие истории: Веревочка. — Кулички. — Огоньки. — Ветрячок. — Хмель на тычинке. — Лодочка. Илл.: И. Брюлин	Наш современник	1965	3	56—61
Заурих, Алексей.			«Звезды этого лета...» — Полесье. [Стихи]. Илл.: К. Багрова	Наш современник	1965	3	63—64
Грин, Грэм.			Ведомство страха. (Развлекательное чтение). Пер. с англ.: Е. Голышева. Илл.: Е. Щукаев	Наш современник	1965	3	65—94
Антонов, С.			На Кубе. [Путевые заметки]	Наш современник	1965	3	95—103
Грошева, Е.			Любите оперный театр... [Об оперном искусстве]	Наш современник	1965	4	102—106
Шафран, М.			Спортсмен должен быть сильным	Наш современник	1965	4	112—113
Монастырев, Владимир.			Салат из хризантем. Повесть. Илл.: В. Карабут	Наш современник	1965	4	3—36
Белов, В.			Тезки. Рассказ. Илл.: Д. Громан	Наш современник	1965	4	37—43
Полетаев, С.			Сестры. Рассказ. Илл.: Ю. Петров	Наш современник	1965	4	44—54
Кузнецов, Вячеслав.			Мадонна. Поэма. Илл.: К. Багрова	Наш современник	1965	4	55—57
Тиханов, Н.			Маленькие рассказы: Теленок. — «Колокольчики звенят». — Грамотеи. — Жаворонок. — Чтобы люди не падали. — Письмо. — Бессмертие. — Неизвестно почему. — Они взяли отпуск	Наш современник	1965	4	58—63
Зубавин, Владимир.			Цена эксперимента. Рассказ. Илл.: И. Брюлин	Наш современник	1965	4	64—73
Фишер, Майкл.			Юный чемпион. Рассказ. Пер. с англ.: Т. Иванова	Наш современник	1965	4	76—81
Наровчатов, Сергей.			На далеких островах. [О людях острова Медного. Путевые заметки]	Наш современник	1965	4	82—91
Ваксберг, Аркадий.			«Уволен за хамство». Судебный очерк	Наш современник	1965	4	92—97
Пешкин, И.			Злободневные мысли краснопролетарца Семена Смыслова. [О движении за коммунистич. труд на заводе «Красный пролетарий». Москва]	Наш современник	1965	4	98—101
Заяц, Анатолий.			Раздумье. Стихи. Илл.: К. Багрова	Наш современник	1965	5	39
Гиллер, В.			СЭГ-290. Записки воен. врача	Наш современник	1965	5	19—38.
Миксон, Илья.			Отпускник. Рассказ. Илл.: И. Снегур	Наш современник	1965	5	3—18
Рыжов, Иван.			На покосе. Рассказ. Илл.: И. Брюлин	Наш современник	1965	5	46—51
Штенгелев, Евгений.			Штурмовой отряд. Повесть. Илл.: В. Ковынев	Наш современник	1965	5	52—93
Кутов, Ник.			Апрель. — Зрелость. [Стихи]. Илл.: К. Багрова	Наш современник	1965	6	29
Чернышев, Б.			Из олимпийского блокнота. [Заметки о XVIII Олимпийских играх в Токио]	Наш современник	1965	6	106—108
Нагнибеда, Микола.			По дороге к поэме. [Из воспоминаний о кинорежиссере А. П.Довженко]	Наш современник	1965	6	107—112.
Сорокин, Валентин.			Через века. — Бессонница. [Стихи]. Илл.: К. Багрова	Наш современник	1965	6	12—13
Таби, Ласло.			Взгляд на вещи. [Юмористич. рассказ]. Пер. с венгер.: Е. Бочарникова	Наш современник	1965	6	123—124
Штелла, Адорян.			Кого мы целуем. [Юмористич. рассказ]. Пер. с венгер.: Е. Бочарникова	Наш современник	1965	6	125—126
Валеев, Рустам.			Город Лейпциг. Рассказ. Илл.: А. Щербаков	Наш современник	1965	6	14—28
Воеводин, Евгений.			Два рассказа: Дары Красного моря. — Синьора Зинка хочет домой. Илл.: В. Карабут	Наш современник	1965	6	2—11
Дружинин, В.			Клавдия Иванова. Рассказ. Юлл.: Ю. Воробьев	Наш современник	1965	6	30—38
Благов, Юрий.			Крымские легенды, собранные сатириком. Стихи. Илл.: К. Багрова	Наш современник	1965	6	39—41
Мин, Евг.			Сказки для взрослых: Сердце Певца. — Об одном и том же. Илл.: И. Снегур	Наш современник	1965	6	42—50
О’Коннор, Фланери.			Река. Рассказ [америк. писательницы]. Пер. с англ.: В. Голышев	Наш современник	1965	6	51—59
Филев, Борис.			Синий пакет. Рассказ. Илл.: В. Гальдяев	Наш современник	1965	6	60—69
Долматовский, Евг.			Рассказы о песнях: «Любимый город может спать спокойно». — «Ой Днепро, Днепро!» — «Родина слышит, Родина знает». — «Под городом Горьким, где ясные зорьки». — «Друзья, люблю я Ленинские горы». — «Издалека мне улыбнись». [С предисл. автора]	Наш современник	1965	6	70—81
Коровин, Константин.			Репин, Врубель, Серов. — Масленица. Рассказы. [С предисл. В. Нечаева]	Наш современник	1965	6	82—90
Кожин, А.			Колыбельная песня. [О людях Демократической Республики Вьетнам. Очерк]	Наш современник	1965	6	91—97
Федоров, Василий.			Улица Саввы. [Из воспоминаний о писателе С. Е. Кожевникове]	Наш современник	1965	6	98—105
Танк, Максим.			«Ты в спорах с критиком завзятым...» — Послание ученому. [Стихи]. Авториз. пер. с белорус.: А. Корчагин. Илл.: К. Багрова	Наш современник	1965	7	58
Дементьев, Андрей.			«Живет отставной полковник...» Стихи. Илл.: К. Багрова	Наш современник	1965	7	100
Золотарев, А. А.			Бунин и Горький. [Из цикла воспоминаний «Campo santo моей памяти». Публикация и предисл. А. Астафьева]	Наш современник	1965	7	101—105
Скороходов, В.			Многогранный талант... [К биографии биохимика В. В. Ковальского]	Наш современник	1965	7	106—107
Бейлькин, Ю.			Что мы должны есть? [О гигиене питания]	Наш современник	1965	7	115—116
Антонов, Сергей.			Знойный июль. Киноповесть. Илл.: В. Карабут	Наш современник	1965	7	3—57
Босняцкий, Евг.			Окаменелость. Рассказ. Илл.: Ю. Петров	Наш современник	1965	7	50—64
Романенко, Лариса.			Кибернетика. — Матери. — Земля. [Стихи]. Илл.: К. Багрова	Наш современник	1965	7	65—66
Ленч, Леонид.			Невский Мафусаил. Быль. Илл.: А. Орлов	Наш современник	1965	7	67—73
Флеренцев, В.			Дождь. Новелла. Илл.: И. Снегур	Наш современник	1965	7	74—78
Томан, Николай.			Клиническая смерть профессора Холмского. Фантастич. повесть. Илл.: Е. Шукаев	Наш современник	1965	7	79—99
Лифшиц, Владимир.			Прощание с Клиффордом. Стихи	Наш современник	1965	8	53
Сорокин, Ю.			Вторая молодость борьбы. [Заметки мастера спорта]	Наш современник	1965	8	105—107
Дементьев, Валерий.			Бессоница века. [О творчестве поэтов периода Великой Отечеств.войны]	Наш современник	1965	8	108—115.
Фатеев, Владимир.			Басни-эпиграммы. Илл.: Е. Морозова и А. Орлов	Наш современник	1965	8	123—124
Кобзев, Игорь.			Стихи о славе. — Гармошки. — Парни. — Двадцатилетние. — БабкаФедосья. [Стихи]. Илл.: К. Багрова	Наш современник	1965	8	26—28.
Астафьев, В.			Восьмой побег. Рассказ. Илл.: В. Воробьев	Наш современник	1965	8	29—44
Никитин, С.			Первые заморозки. Рассказ. Илл.: И. Брюлин	Наш современник	1965	8	45—48
Клиффорд, Джемс.			Воскресная служба. — Бамбери. — Мне стало известно. — Собака. —Откровения рядового Энди Смайлза. — Дежурю ночью. — Тот день. [Стихи англ. поэта.Пер.: В. Лифшиц]. Илл.: К. Багрова	Наш современник	1965	8	49—53.
Семенов, М.			В чемодане — улыбка. Путешествие, как его видит юморист. Илл.: И.Семенов	Наш современник	1965	8	73—104.
Баскакова, М.			Под девизом «Человек». [О 2-й выставке произведений художников РСФСР «Советская Россия». Москва. 1964—1965]	Наш современник	1965	9	101—104
Бровман, Григорий.			Плоское бытописательство и его адвокат. [О критич. статьях, посвящ. рассказам И. Грековой]	Наш современник	1965	9	105—109
Сорокин, Ю.			Можно ли убить «козла»? Заметки о спорте	Наш современник	1965	9	110—112
Лада, И.			Метапланета. [К гипотезе о возможности окружения Солнца сплошной сферой]	Наш современник	1965	9	113—116
Ваншенкин, Константин.			Во второй половине дня. Рассказ. Илл.: В. Ковынев	Наш современник	1965	9	2—36
Регистан, Гарольд.			Звезды над Волгой. — «О, как хочется жить...» — «Слыхали? Вымирают паровозы!» — «Уходит друг...» [Стихи]. Илл.: К. Багрова	Наш современник	1965	9	37—39
Красильников, Геннадий.			Камешек. Рассказ. Пер. с удмурт. автора. Илл.: Н. Гришин	Наш современник	1965	9	40—52
Чернолусский, Михаил.			Авария. Рассказ	Наш современник	1965	9	55—59
Труайя, Анри.			Зеленая записная книжка. Рассказ. Пер. с франц.: В. Толли. Илл.: Е. Шукаев	Наш современник	1965	9	60—71
Ким, Роман.			Школа призраков. Приключен. повесть. Илл.: Е. Шукаев	Наш современник	1965	9	72—89
Ваксберг, Аркадий.			Кто старое помянет... Судебный очерк	Наш современник	1965	9	90—93
Казакевич, Эм.			Иностранная коллегия. [1-я глава и отрывок из повести. Публикация и предисл. Л. Жак]	Наш современник	1965	9	94—100
Макаренко, А. С.			А. С. Макаренко на «Шарикоподшипнике». [Стенограмма выступленияписателя на встрече с читателями завода «Шарикоподшипник» 25 окт. 1936 г. Напеч. ссокращениями. Публикация и предисл. В. Нечаева]	Наш современник	1965	10	101—109.
Мержанов, Мартын.			Касательно футбола... Заметки о спорте	Наш современник	1965	10	114—116
Беличенко, Юрий.			О человеке. — Мечта. — Романтики. — Снегопад. — «Уйти в леса, гденет тропы...» [Стихи]. Илл.: К. Багрова	Наш современник	1965	10	63—65.
Бабель, И.			Doudou. Рассказ. [Из газ. «Свободная мысль», 1917, 13 марта. Публикация В.Афанасьева]	Наш современник	1965	10	66—67.
Петреску, Флорин.			Изобретатель. [Юмористич. рассказ. Пер. с румын.: Б. Ярыш]. Илл.: Е.Шукаев	Наш современник	1965	10	68—70.
Миней, Николае.			Естествознание. [Юмористич. рассказ. Пер. с румын.: Б. Ярыш]. Илл.: Е.Шукаев	Наш современник	1965	10	70—71.
Бенадов, Х.			Договор. [Юмористич. рассказ]. Пер. с болгар.: Е. Туганов. Илл.: А. Орлов	Наш современник	1965	10	72—73.
Бардзиевский, Генрик.			Как я писал детективный роман. [Юмористич. рассказ]. Пер. спольского: Н. Лабковский. Илл.: А. Орлов	Наш современник	1965	10	73—74.
Мрожек, Славомир.			Герой. — Свадьба в Атомицах. [Юмористич. рассказы]. Пер. спольского: М. Павлова и В. Бурич. Илл.: А. Орлов	Наш современник	1965	10	74—75.
Шинов, Ч.			Сто процентов, или Как не надо вести соревнование. [Юмористич. рассказ].Пер. с болгар.: Н. Кочешков. Илл.: А. Орлов	Наш современник	1965	10	76—77.
Марков, Алексей.			Скворцы. — Курильщицам. — Триста лет. [Стихи]. Илл.: К. Багрова	Наш современник	1965	10	78—79.
Фролов, Михаил.			Философский камень. — Банька. [Стихи]	Наш современник	1969	8	56
Михалев, Вл.			«Едва хлестнет дождем тугим...» — «Отошла натруженная, страдная...» —«Отжимает поле полы...» — «Тропа проселочная, отчая...» [Стихи]	Наш современник	1969	8	81
Югов, Алексей.			Русский язык сам собой правит! [О принципах отбора слов для словарейсоврем. рус. лит. яз.]	Наш современник	1969	8	107—115
Поскребышев, Олег.			«Ох уж эти мужики...» — Ночная пахота. — «Как в молотьбу соломумечут?..» — Встречальная. [Стихи]. Илл.: К. Багрова	Наш современник	1969	8	3—5
Чахкиев, Сайд.			Сквозь грозы и пламя. Поэтхроника. Отрывок. Пер. с ингуш.: Г. Юнаков	Наш современник	1969	8	58—59
Лидин, Вл.			Человек в серой шляпе. — Волшебная флейта. — Чемоданчик с рукописью.Рассказы. Илл.: Г. Новожилов	Наш современник	1969	8	60—75
			Что помнят ветераны [Великой Отечественной войны. Статьи]: К. Мизерский, Сыновьяказачьего полка. — В. Яргульян. Закрыл телом амбразуру... — Л. Анфимова. Подземныйгоспиталь. — П. Мирошниченко. Сильнее смерти	Наш современник	1969	8	83—87
Коваль-Волков, Александр.			Амуру. — «Перед тобой не покривлю строкою...» [Стихи].Илл.: В. Пилюгов	Наш современник	1969	9	45
Шульгин, Микуль.			«В народе «заколдованной землею...» — «Я так горжусь своимотцом...» [Стихи]. Пер. с хантыйского: С. Мнацаканян	Наш современник	1969	9	85
Любимов, Л.			Целый океан красоты!.. [О древнерус. иконописи]	Наш современник	1969	9	112—115
Гольский, Евгений.			Стадо маленьких оленят. Стихи: Дерсу Узада. — Пастух Усть-Чары. —Егорий. — Олонхосут. — Брага. — Стадо маленьких оленят. — Шьет Мария женихукухлянку. — Бригадир следопытов. — Сохатенок. Илл.: К. Багрова	Наш современник	1969	9	3—9
Измайлов, Владимир.			Сибирские рассказы: Малина рясная. — Кедровый букет. —Последний. — Фигурная пила. Илл.: Г. Новожилов	Наш современник	1969	9	46—67
Рубцов, Николай.			Изба в снегах. Стихи: Последний пароход. — Вечерние стихи. —Ласточка. — Поэзия. — По дрова. — У церковных берез. — «По холодной осенней реке...»— По дороге к морю. — Ответ на письмо. — Про зайца. —«Стихи из дома гонят нас...»Илл.: К. Багрова	Наш современник	1969	9	68—73
Лободин, Игорь.			Родительская дорожка. Рассказ. [С предисл. Е. Носова]. Илл.: В. Карасев	Наш современник	1969	9	74—84
Ошейко, Виктор.			Предел плодородия — каков он? [Исследования повышенияурожайности зерновых]. Очерк	Наш современник	1969	9	88—95
Лучук Владимир.			Солнце. Стихи. [Пер. с укр.: Г. Глазов]. —	Наш современник	1969	10	72
Хоросницкая Мария.			Была война... Стихи. Пер. с укр.: Г. Глазов. —	Наш современник	1969	10	73
Журко Ф.			Поэзия документов и фактов. Лениниана в ист. развитии. К III Съездуписателей РСФСР. —	Наш современник	1969	10	104—112
Михалков Борис.			Необходимость героического. [Об идейной направленности болг.литературы и искусства]. Пер. с болг. —	Наш современник	1969	10	121—122
Алексеев Олег.			Горжусь! — «Двуручный меч — его крыло...»— «Боры с тишиноюнедолгой...»—«Я видывал «тигры» на марше...»—«Люблю полевые тропинки...»— «Стихио родине лесной...» [Стихи]. Илл.: А. Мосийчук. —	Наш современник	1969	10	3—5
Панкратов Юрий.			Песня. — Тюмень. — «Я не знаю, к чему бы это...» — Русская сказка.[Стихи] Илл.: А. Мосийчук. —	Наш современник	1969	10	41—43
Никонов Николай.			История одной любви. Повесть. Илл.: Е. Шукаев. —	Наш современник	1969	10	6—40
Хузангай Педер.			Чувашия, земля родная. — Юсупу Хаппалаеву. [Стихи]. Пер. с чуваш.автора. —	Наш современник	1969	10	67—68
Мекшен Светлана.			Военные вести. — Кино. [Стихи]. —	Наш современник	1969	10	69—70
Кузовлев Д. М.			Земля и люди. Записки пред. колхоза [«3аря». Шекснин. район Вологод.обл. С предисл. С. Шуртакова «Из первых рук»]. —	Наш современник	1969	10	74—91
